#Parameters = {r1=0.5; r2=10; N=5; gap=0.5; Linear_Spiral_cst_torrus_orientation=0; Linear_Spiral_cst_torrus_N=5; Linear_Spiral_cst_torrus_phi=15; Linear_Spiral_cst_torrus_ri=0.5; Linear_Spiral_cst_torrus_ra=10; Linear_Spiral_cst_torrus_h=102}
#"Frequency / GHz"	"Z1,1 [Real/Imaginary Part] [Re]"	"Z1,1 [Real/Imaginary Part] [Im]"
#-------------------------------------------------------------------------------------
0.0000000000000	0.089275038275521	0.13276026053145
0.00050000000000000	0.091359205513035	1.8843029211168
0.0010000000000000	0.093493526647024	3.6360461978756
0.0015000000000000	0.095678767560925	5.3880210199083
0.0020000000000000	0.097915729417396	7.1402583575405
0.0025000000000000	0.10020525038648	8.8927892243927
0.0030000000000000	0.10254820747729	10.645644679445
0.0035000000000000	0.10494551847750	12.398855829089
0.0040000000000000	0.10739814400917	14.152453829173
0.0045000000000000	0.10990708970761	15.906469887019
0.0050000000000000	0.11247340853184	17.660935263435
0.0055000000000000	0.11509820321422	19.415881274694
0.0060000000000000	0.11778262885926	21.171339294482
0.0065000000000000	0.12052789570134	22.927340755823
0.0070000000000000	0.12333527203078	24.683917152950
0.0075000000000000	0.12620608730038	26.441100043144
0.0080000000000000	0.12914173542317	28.198921048504
0.0085000000000000	0.13214367827512	29.957411857665
0.0090000000000000	0.13521344941475	31.716604227437
0.0095000000000000	0.13835265803537	33.476529984361
0.010000000000000	0.14156299316342	35.237221026171
0.010500000000000	0.14484622812082	36.998709323145
0.011000000000000	0.14820422526635	38.761026919328
0.011500000000000	0.15163894103640	40.524205933616
0.012000000000000	0.15515243130200	42.288278560676
0.012500000000000	0.15874685706389	44.053277071679
0.013000000000000	0.16242449050718	45.819233814827
0.013500000000000	0.16618772143552	47.586181215644
0.014000000000000	0.17003906411359	49.354151776998
0.014500000000000	0.17398116453644	51.123178078816
0.015000000000000	0.17801680815677	52.893292777468
0.015500000000000	0.18214892809441	54.664528604761
0.016000000000000	0.18638061385680	56.436918366493
0.016500000000000	0.19071512059986	58.210494940535
0.017000000000000	0.19515587895692	59.985291274345
0.017500000000000	0.19970650546790	61.761340381883
0.018000000000000	0.20437081363864	63.538675339814
0.018500000000000	0.20915282566010	65.317329282949
0.019000000000000	0.21405678481490	67.097335398795
0.019500000000000	0.21908716860538	68.878726921132
0.020000000000000	0.22424870262208	70.661537122485
0.020500000000000	0.22954637518406	72.445799305360
0.021000000000000	0.23498545276390	74.231546792092
0.021500000000000	0.24057149621767	76.018812913151
0.022000000000000	0.24631037782457	77.807630993702
0.022500000000000	0.25220829913729	79.598034338223
0.023000000000000	0.25827180962931	81.390056212959
0.023500000000000	0.26450782611440	83.183729825940
0.024000000000000	0.27092365289718	84.979088304293
0.024500000000000	0.27752700258370	86.776164668533
0.025000000000000	0.28432601747157	88.574991803483
0.025500000000000	0.29132929138271	90.375602425449
0.026000000000000	0.29854589179325	92.178029045223
0.026500000000000	0.30598538203902	93.982303926465
0.027000000000000	0.31365784332842	95.788459038952
0.027500000000000	0.32157389625681	97.596526006161
0.028000000000000	0.32974472136374	99.406536046588
0.028500000000000	0.33818207827324	101.21851990818
0.029000000000000	0.34689832275309	103.03250779520
0.029500000000000	0.35590642096664	104.84852928681
0.030000000000000	0.36521995999043	106.66661324663
0.030500000000000	0.37485315351083	108.48678772254
0.031000000000000	0.38482084138331	110.30907983590
0.031500000000000	0.39513848153440	112.13351565949
0.032000000000000	0.40582213232722	113.96012008338
0.032500000000000	0.41688842331145	115.78891666821
0.033000000000000	0.42835451177959	117.61992748524
0.033500000000000	0.44023802230825	119.45317294301
0.034000000000000	0.45255696584759	121.28867160030
0.034500000000000	0.46532963467047	123.12643996604
0.035000000000000	0.47857446867698	124.96649228664
0.035500000000000	0.49230988844536	126.80884032228
0.036000000000000	0.50655408940540	128.65349311445
0.036500000000000	0.52132479154929	130.50045674775
0.037000000000000	0.53663893815759	132.34973411053
0.037500000000000	0.55251233717388	134.20132466025
0.038000000000000	0.56895923842628	136.05522420131
0.038500000000000	0.58599184023565	137.91142468511
0.039000000000000	0.60361971944670	139.76991404463
0.039500000000000	0.62184918002824	141.63067607842
0.040000000000000	0.64068251706936	143.49369040185
0.040500000000000	0.66011719570384	145.35893248667
0.041000000000000	0.68014494792904	147.22637381263
0.041500000000000	0.70075079527672	149.09598215817
0.042000000000000	0.72191201123652	150.96772205904
0.042500000000000	0.74359704504230	152.84155546505
0.043000000000000	0.76576443725747	154.71744262466
0.043500000000000	0.78836176777445	156.59534322498
0.044000000000000	0.81132468798010	158.47521780899
0.044500000000000	0.83457609980349	160.35702948336
0.045000000000000	0.85802555499610	162.24074591723
0.045500000000000	0.88156895616424	164.12634161522
0.046000000000000	0.90508864579667	166.01380042641
0.046500000000000	0.92845396870595	167.90311822559
0.047000000000000	0.95152238501844	169.79430567580
0.047500000000000	0.97414119397021	171.68739095255
0.048000000000000	0.99614990164989	173.58242228551
0.048500000000000	1.0173832291648	175.47947015361
0.049000000000000	1.0376747122750	177.37862896072
0.049500000000000	1.0568607928950	179.28001802365
0.050000000000000	1.0747852508003	181.18378172493
0.050500000000000	1.0913037770580	183.09008872147
0.051000000000000	1.1062884546475	184.99913015452
0.051500000000000	1.1196318932504	186.91111687343
0.052000000000000	1.1312507681094	188.82627575872
0.052500000000000	1.1410885396883	190.74484530172
0.053000000000000	1.1491171803063	192.66707065911
0.053500000000000	1.1553378013618	194.59319844429
0.054000000000000	1.1597801532692	196.52347153742
0.054500000000000	1.1625010505945	198.45812419012
