#Parameters = {Linear_Spiral_cst_torrus_N=10; Linear_Spiral_cst_torrus_h=10; Linear_Spiral_cst_torrus_orientation=0; Linear_Spiral_cst_torrus_phi=30; Linear_Spiral_cst_torrus_ra=5; Linear_Spiral_cst_torrus_ri=5; Nturns=4; blend_radius=2; mainCoil_H=22; mainCoil_L=29; mainCoil_WG=0.5; mainCoil_winding_gap=0.1; mountingOffset=6; mountingThicnkess=14.4; turnLength=102}
#"Frequency / GHz"	"Z1,1 (mainCoil_winding_gap=0.1) [Real/Imaginary Part] [Re]"	"Z1,1 (mainCoil_winding_gap=0.1) [Real/Imaginary Part] [Im]"
#-------------------------------------------------------------------------------------------------------------------------------------------
0.010000000000000	0.35927423236801	57.508063533392
0.010990000000000	0.37670188938584	63.236763922111
0.011980000000000	0.39405093507845	68.981221388913
0.012970000000000	0.41133238862541	74.742916667961
0.013960000000000	0.42855723587659	80.523345474834
0.014950000000000	0.44573644418940	86.324019853380
0.015940000000000	0.46288097733205	92.146469552569
0.016930000000000	0.48000181049717	97.992243436036
0.017920000000000	0.49710994545098	103.86291092712
0.018910000000000	0.51421642586953	109.76006349235
0.019900000000000	0.53133235289406	115.68531616634
0.020890000000000	0.54846890095472	121.64030912140
0.021880000000000	0.56563733388030	127.62670928502
0.022870000000000	0.58284902138156	133.64621200892
0.023860000000000	0.60011545591814	139.70054279316
0.024850000000000	0.61744827000524	145.79145906917
0.025840000000000	0.63485925400574	151.92075204586
0.026830000000000	0.65236037449758	158.09024862298
0.027820000000000	0.66996379320164	164.30181337625
0.028810000000000	0.68768188660315	170.55735061902
0.029800000000000	0.70552726625800	176.85880654553
0.030790000000000	0.72351279990570	183.20817146105
0.031780000000000	0.74165163345197	189.60748210449
0.032770000000000	0.75995721383393	196.05882406969
0.033760000000000	0.77844331293089	202.56433433147
0.034750000000000	0.79712405253932	209.12620388340
0.035740000000000	0.81601393053302	215.74668049445
0.036730000000000	0.83512784830039	222.42807159210
0.037720000000000	0.85448113952773	229.17274728019
0.038710000000000	0.87408960055032	235.98314350028
0.039700000000000	0.89396952218440	242.86176534543
0.040690000000000	0.91413772336388	249.81119053706
0.041680000000000	0.93461158662605	256.83407307471
0.042670000000000	0.95540909560601	263.93314707081
0.043660000000000	0.97654887466407	271.11123078204
0.044650000000000	0.99805023095935	278.37123085082
0.045640000000000	1.0199331988993	285.71614677074
0.046630000000000	1.0422185873766	293.14907559076
0.047620000000000	1.0649280300203	300.67321687490
0.048610000000000	1.0880840385318	308.29187793422
0.049600000000000	1.1117100594227	316.00847935018
0.050590000000000	1.1358305344961	323.82656080931
0.051580000000000	1.1604709654991	331.74978727096
