#Parameters = {H=9; L=20; N=3; a=70; circumf=59.274333882308; effective_cross_section=974.46900494077; gap=1; gp_t=1; m1=2; m2=2.14; n1=5; offset=1; planeW=0.5; spread_factor=2; tw=0.5; wg=0.5; wire_length=201.09733552923}
#"Z / mm"	"h-field (f=0.1275) (1)_Abs (Z) [Real Part]"
#-----------------------------------------------------
-36.000000000000	1.1401760066271
-35.900036188179	1.1466714450586
-35.800072376357	1.1532324401110
-35.700108564536	1.1598592324046
-35.600144752714	1.1667373828865
-35.500180940893	1.1740047391962
-35.400217129071	1.1813159809953
-35.300253317250	1.1886726979777
-35.200289505428	1.1960739267515
-35.100325693607	1.2035215006406
-35.000361881785	1.2110156993461
-34.900398069964	1.2185566307502
-34.800434258142	1.2261455041429
-34.700470446321	1.2337822277941
-34.600506634499	1.2435229889069
-34.500542822678	1.2540999458903
-34.400579010856	1.2649507006113
-34.300615199035	1.2760754951733
-34.200651387214	1.2874755591872
-34.100687575392	1.2974490065537
-34.000723763571	1.3073396738315
-33.900759951749	1.3174551892025
-33.800796139928	1.3277958787445
-33.700832328106	1.3383618243218
-33.600868516285	1.3491527231463
-33.500904704463	1.3601684331976
-33.400940892642	1.3714096690986
-33.300977080820	1.3828755916353
-33.201013268999	1.3945665773414
-33.101049457177	1.4064822780753
-33.001085645356	1.4186235776203
-32.901121833534	1.4309898436568
-32.801158021713	1.4435811857972
-32.701194209891	1.4563975877006
-32.601230398070	1.4694392003389
-32.501266586248	1.4827058777515
-32.401302774427	1.4961974150296
-32.301338962606	1.5099145378171
-32.201375150784	1.5238560527937
-32.101411338963	1.5380232640916
-32.001447527141	1.5524157119346
-31.901483715320	1.5670328288117
-31.801519903498	1.5818751046666
-31.701556091677	1.5969426532006
-31.601592279855	1.6122352355073
-31.501628468034	1.6277533612585
-31.401664656212	1.6434965381854
-31.301700844391	1.6594650574040
-31.201737032569	1.6756586696282
-31.101773220748	1.6920773760071
-31.001809408926	1.7087213160558
-30.901845597105	1.7255906275207
-30.801881785283	1.7426852163160
-30.701917973462	1.7600052915695
-30.601954161641	1.7775506476100
-30.501990349819	1.7953209721098
-30.402026537998	1.8133165822144
-30.302062726176	1.8315379077163
-30.202098914355	1.8499840623452
-30.102135102533	1.8660975895622
-30.002171290712	1.8822888960999
-29.902207478890	1.8986953053444
-29.802243667069	1.9153171323952
-29.702279855247	1.9321543013305
-29.602316043426	1.9492062039310
-29.502352231604	1.9664726422537
-29.402388419783	1.9839537242304
-29.302424607961	2.0016486319475
-29.202460796140	2.0195575716963
-29.102496984318	2.0376806347906
-29.002533172497	2.0560173281755
-28.902569360676	2.0745669793304
-28.802605548854	2.0933303103835
-28.702641737033	2.1123064524641
-28.602677925211	2.1314954893519
-28.502714113390	2.1508972516839
-28.402750301568	2.1705115522344
-28.302786489747	2.1903382861923
-28.202822677925	2.2103774599759
-28.102858866104	2.2306283236654
-28.002895054282	2.2510915656608
-27.902931242461	2.2717664397512
-27.802967430639	2.2926527585524
-27.703003618818	2.3137513634842
-27.603039806996	2.3350599969452
-27.503075995175	2.3565808767168
-27.403112183353	2.3783139615756
-27.303148371532	2.4002569360946
-27.203184559710	2.4224104758756
-27.103220747889	2.4447765688869
-27.003256936068	2.4657222508021
-26.903293124246	2.4866485568039
-26.803329312425	2.5077344074920
-26.703365500603	2.5289793103052
-26.603401688782	2.5503835066272
-26.503437876960	2.5719462792367
-26.403474065139	2.5936678538187
-26.303510253317	2.6155489594189
-26.203546441496	2.6375900556602
